12:50:04.545 [MainThread] INFO    thonny: NEW MODS ['_blake2', '_compat_pickle', '_ctypes', '_hashlib', '_json', '_pickle', '_sysconfigdata__arm-linux-gnueabihf', 'colorama', 'colorama.ansi', 'colorama.ansitowin32', 'colorama.initialise', 'colorama.win32', 'colorama.winterm', 'ctypes', 'ctypes._endian', 'difflib', 'filecmp', 'gc', 'hashlib', 'jedi', 'jedi._compatibility', 'jedi.api', 'jedi.api.classes', 'jedi.api.completion', 'jedi.api.completion_cache', 'jedi.api.environment', 'jedi.api.errors', 'jedi.api.exceptions', 'jedi.api.file_name', 'jedi.api.helpers', 'jedi.api.interpreter', 'jedi.api.keywords', 'jedi.api.project', 'jedi.api.refactoring', 'jedi.api.refactoring.extract', 'jedi.api.strings', 'jedi.cache', 'jedi.common', 'jedi.debug', 'jedi.file_io', 'jedi.inference', 'jedi.inference.analysis', 'jedi.inference.arguments', 'jedi.inference.base_value', 'jedi.inference.cache', 'jedi.inference.compiled', 'jedi.inference.compiled.access', 'jedi.inference.compiled.getattr_static', 'jedi.inference.compiled.mixed', 'jedi.inference.compiled.subprocess', 'jedi.inference.compiled.subprocess.functions', 'jedi.inference.compiled.value', 'jedi.inference.context', 'jedi.inference.docstring_utils', 'jedi.inference.docstrings', 'jedi.inference.filters', 'jedi.inference.flow_analysis', 'jedi.inference.gradual', 'jedi.inference.gradual.annotation', 'jedi.inference.gradual.base', 'jedi.inference.gradual.conversion', 'jedi.inference.gradual.generics', 'jedi.inference.gradual.stub_value', 'jedi.inference.gradual.type_var', 'jedi.inference.gradual.typeshed', 'jedi.inference.gradual.typing', 'jedi.inference.gradual.utils', 'jedi.inference.helpers', 'jedi.inference.imports', 'jedi.inference.lazy_value', 'jedi.inference.names', 'jedi.inference.param', 'jedi.inference.parser_cache', 'jedi.inference.recursion', 'jedi.inference.references', 'jedi.inference.signature', 'jedi.inference.syntax_tree', 'jedi.inference.sys_path', 'jedi.inference.utils', 'jedi.inference.value', 'jedi.inference.value.decorator', 'jedi.inference.value.dynamic_arrays', 'jedi.inference.value.function', 'jedi.inference.value.instance', 'jedi.inference.value.iterable', 'jedi.inference.value.klass', 'jedi.inference.value.module', 'jedi.parser_utils', 'jedi.plugins', 'jedi.plugins.django', 'jedi.plugins.flask', 'jedi.plugins.pytest', 'jedi.plugins.registry', 'jedi.plugins.stdlib', 'jedi.settings', 'json', 'json.decoder', 'json.encoder', 'json.scanner', 'parso', 'parso._compatibility', 'parso.cache', 'parso.file_io', 'parso.grammar', 'parso.normalizer', 'parso.parser', 'parso.pgen2', 'parso.pgen2.generator', 'parso.pgen2.grammar_parser', 'parso.python', 'parso.python.diff', 'parso.python.errors', 'parso.python.parser', 'parso.python.pep8', 'parso.python.prefix', 'parso.python.token', 'parso.python.tokenize', 'parso.python.tree', 'parso.tree', 'parso.utils', 'pickle', 'pkgutil', 'pydoc', 'pydoc_data', 'pydoc_data.topics', 'sysconfig', 'zipfile']
12:50:04.545 [MainThread] INFO    thonny: TIME/MODS 0.000 sent ready 
12:50:04.545 [MainThread] INFO    thonny: TIME/MODS 0.000 Beginning of mainloop 
12:50:04.545 [MainThread] INFO    thonny: TIME/MODS 0.000 before get_globals 
12:50:04.545 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:04.554 [MainThread] INFO    thonny: TIME/MODS 0.009 affsubcode 
12:50:04.574 [MainThread] INFO    thonny: TIME/MODS 0.020 affforw 
12:50:04.575 [MainThread] INFO    thonny: TIME/MODS 0.000 after get_globals 
12:50:08.060 [MainThread] INFO    thonny: TIME/MODS 3.485 before get_dirs_children_info 
12:50:08.060 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:08.075 [MainThread] INFO    thonny: TIME/MODS 0.015 affsubcode 
12:50:08.103 [MainThread] INFO    thonny: TIME/MODS 0.027 affforw 
12:50:08.104 [MainThread] INFO    thonny: TIME/MODS 0.002 after get_dirs_children_info 
12:50:11.036 [MainThread] INFO    thonny: TIME/MODS 2.932 before read_file 
12:50:11.036 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:11.040 [MainThread] INFO    thonny: TIME/MODS 0.004 affsubcode 
12:50:11.054 [MainThread] INFO    thonny: TIME/MODS 0.014 affforw 
12:50:11.054 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:11.060 [MainThread] INFO    thonny: TIME/MODS 0.006 affsubcode 
12:50:11.076 [MainThread] INFO    thonny: TIME/MODS 0.015 affforw 
12:50:11.076 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:11.080 [MainThread] INFO    thonny: TIME/MODS 0.004 affsubcode 
12:50:11.100 [MainThread] INFO    thonny: TIME/MODS 0.019 affforw 
12:50:11.100 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:11.105 [MainThread] INFO    thonny: TIME/MODS 0.005 affsubcode 
12:50:11.116 [MainThread] INFO    thonny: TIME/MODS 0.011 affforw 
12:50:11.117 [MainThread] INFO    thonny.plugins.micropython.bare_metal_backend: Read /main.py in 0.1 seconds
12:50:11.117 [MainThread] INFO    thonny: TIME/MODS 0.000 after read_file 
12:50:11.602 [MainThread] INFO    thonny: TIME/MODS 0.485 before highlight_occurrences 
12:50:11.779 [MainThread] INFO    thonny: TIME/MODS 0.177 after highlight_occurrences (+1 modules)
12:50:11.779 [MainThread] INFO    thonny: NEW MODS ['thonny.jedi_utils']
12:50:38.641 [MainThread] INFO    thonny: TIME/MODS 26.862 before highlight_occurrences 
12:50:38.642 [MainThread] INFO    thonny: TIME/MODS 0.001 after highlight_occurrences 
12:50:38.680 [MainThread] INFO    thonny: TIME/MODS 0.039 before highlight_occurrences 
12:50:38.681 [MainThread] INFO    thonny: TIME/MODS 0.001 after highlight_occurrences 
12:50:39.372 [MainThread] INFO    thonny: TIME/MODS 0.691 before highlight_occurrences 
12:50:39.373 [MainThread] INFO    thonny: TIME/MODS 0.000 after highlight_occurrences 
12:50:39.410 [MainThread] INFO    thonny: TIME/MODS 0.037 before highlight_occurrences 
12:50:39.410 [MainThread] INFO    thonny: TIME/MODS 0.001 after highlight_occurrences 
12:50:39.858 [MainThread] INFO    thonny: TIME/MODS 0.448 before highlight_occurrences 
12:50:39.859 [MainThread] INFO    thonny: TIME/MODS 0.000 after highlight_occurrences 
12:50:39.894 [MainThread] INFO    thonny: TIME/MODS 0.036 before highlight_occurrences 
12:50:39.895 [MainThread] INFO    thonny: TIME/MODS 0.001 after highlight_occurrences 
12:50:40.175 [MainThread] INFO    thonny: TIME/MODS 0.280 before highlight_occurrences 
12:50:40.176 [MainThread] INFO    thonny: TIME/MODS 0.000 after highlight_occurrences 
12:50:40.193 [MainThread] INFO    thonny: TIME/MODS 0.017 before highlight_occurrences 
12:50:40.195 [MainThread] INFO    thonny: TIME/MODS 0.001 after highlight_occurrences 
12:50:40.423 [MainThread] INFO    thonny: TIME/MODS 0.228 before highlight_occurrences 
12:50:40.423 [MainThread] INFO    thonny: TIME/MODS 0.000 after highlight_occurrences 
12:50:40.438 [MainThread] INFO    thonny: TIME/MODS 0.015 before highlight_occurrences 
12:50:40.439 [MainThread] INFO    thonny: TIME/MODS 0.001 after highlight_occurrences 
12:51:57.855 [MainThread] INFO    thonny: TIME/MODS 77.416 before highlight_occurrences 
12:51:57.930 [MainThread] INFO    thonny: TIME/MODS 0.075 after highlight_occurrences (+1 modules)
12:51:57.930 [MainThread] INFO    thonny: NEW MODS ['jedi.inference.finder']
